"date","rank","song","artist"
"1999-01-01",1,"I'm Your Angel","R. Kelly & Celine Dion"
"1999-01-01",2,"Nobody's Supposed To Be Here","Deborah Cox"
"1999-01-01",3,"Lately","Divine"
"1999-01-01",4,"...Baby One More Time","Britney Spears"
"1999-01-01",5,"Because Of You","98 Degrees"
"1999-01-01",6,"From This Moment On","Shania Twain"
"1999-01-01",7,"Doo Wop (That Thing)","Lauryn Hill"
"1999-01-01",8,"Trippin'","Total Featuring Missy Elliott"
"1999-01-01",9,"Have You Ever?","Brandy"
"1999-01-01",10,"Love Like This","Faith Evans"
"1999-01-01",11,"Goodbye","Spice Girls"
"1999-01-01",12,"Lullaby","Shawn Mullins"
"1999-01-01",13,"Save Tonight","Eagle-Eye Cherry"
"1999-01-01",14,"This Kiss","Faith Hill"
"1999-01-01",15,"Hands","Jewel"
"1999-01-01",16,"Slide","Goo Goo Dolls"
"1999-01-01",17,"Jumper","Third Eye Blind"
"1999-01-01",18,"Love Me","112 Featuring Mase"
"1999-01-01",19,"I Don't Want To Miss A Thing","Mark Chesnutt"
"1999-01-01",20,"Can I Get A...","Jay-Z Featuring Amil (Of Major Coinz) & Ja"
"1999-01-01",21,"Ghetto Cowboy","Mo Thugs Family Featuring Bone Thugs-N-Harmony"
"1999-01-01",22,"Iris","Goo Goo Dolls"
"1999-01-01",23,"The First Night","Monica"
"1999-01-01",24,"Take Me There","BLACKstreet & Mya Featuring Mase & Blinky Blink"
"1999-01-01",25,"Angel","Sarah McLachlan"
"1999-01-01",26,"I'll Be","Edwin McCain"
"1999-01-01",27,"My Favorite Mistake","Sheryl Crow"
"1999-01-01",28,"How Deep Is Your Love","Dru Hill Featuring Redman"
"1999-01-01",29,"Miami","Will Smith"
"1999-01-01",30,"Pushin' Weight","Ice Cube Featuring Mr. Short Khop"
"1999-01-01",31,"These Are The Times","Dru Hill"
"1999-01-01",32,"Thank U","Alanis Morissette"
"1999-01-01",33,"Touch It","Monifah"
"1999-01-01",34,"Inside Out","Eve 6"
"1999-01-01",35,"(God Must Have Spent) A Little More Time On You","*NSYNC"
"1999-01-01",36,"Angel Of Mine","Monica"
"1999-01-01",37,"One Week","Barenaked Ladies"
"1999-01-01",38,"Hard Knock Life (Ghetto Anthem)","JAY-Z"
"1999-01-01",39,"Too Close","Next"
"1999-01-01",40,"Hold Me","Brian McKnight Featuring Tone & Kobe Bryant"
"1999-01-01",41,"All The Places (I Will Kiss You)","Aaron Hall"
"1999-01-01",42,"You're Beginning To Get To Me","Clay Walker"
"1999-01-01",43,"The Power Of Good-Bye","Madonna"
"1999-01-01",44,"Changes","2Pac"
"1999-01-01",45,"There You Have It","BlackHawk"
"1999-01-01",46,"Someone You Used To Know","Collin Raye"
"1999-01-01",47,"Are You That Somebody?","Aaliyah"
"1999-01-01",48,"Wrong Again","Martina McBride"
"1999-01-01",49,"You're Easy On The Eyes","Terri Clark"
"1999-01-01",50,"You Get What You Give","New Radicals"
"1999-01-01",51,"Right On The Money","Alan Jackson"
"1999-01-01",52,"Fly Away","Lenny Kravitz"
"1999-01-01",53,"For You I Will","Aaron Tippin"
"1999-01-01",54,"No Place That Far","Sara Evans"
"1999-01-01",55,"Spirit Of A Boy, Wisdom Of A Man","Randy Travis"
"1999-01-01",56,"Come And Get With Me","Keith Sweat Featuring Snoop Dogg"
"1999-01-01",57,"Pretty Fly (For A White Guy)","The Offspring"
"1999-01-01",58,"Believe","Cher"
"1999-01-01",59,"Rosa Parks","OutKast"
"1999-01-01",60,"Husbands And Wives","Brooks & Dunn"
"1999-01-01",61,"For A Little While","Tim McGraw"
"1999-01-01",62,"Let Me Let Go","Faith Hill"
"1999-01-01",63,"Stand Beside Me","Jo Dee Messina"
"1999-01-01",64,"When You Believe","Whitney Houston & Mariah Carey"
"1999-01-01",65,"Hold On To Me","John Michael Montgomery"
"1999-01-01",66,"It's All Been Done","Barenaked Ladies"
"1999-01-01",67,"Sweetest Thing","The Wilkinsons"
"1999-01-01",68,"Fly (The Angel Song)","Voices Of Theory"
"1999-01-01",69,"Wherever You Go","R. Kelly"
"1999-01-01",70,"When A Woman's Fed Up","Reba"
"1999-01-01",71,"Wrong Night","Diamond Rio"
"1999-01-01",72,"Unbelievable","Five"
"1999-01-01",73,"Westside","Everlast"
"1999-01-01",74,"It's The Things You Do","matchbox 20"
"1999-01-01",75,"What It's Like","Whitney Houston Feat. Faith Evans & Kelly Price"
"1999-01-01",76,"Back 2 Good","Dixie Chicks"
"1999-01-01",77,"Heartbreak Hotel","Shaggy Featuring Janet"
"1999-01-01",78,"Wide Open Spaces","NEW"
"1999-01-01",79,"Luv Me, Luv Me","NEW"
"1999-01-01",80,"The Chanukah Song","Adam Sandler"
"1999-01-01",81,"Angel In Disguise","Brandy"
"1999-01-01",82,"I Don't Want To Miss A Thing","Aerosmith"
"1999-01-01",83,"Father Of Mine","Everclear"
