"date","rank","song","artist"
"2023-01-01",1,"All I Want For Christmas Is You","Mariah Carey"
"2023-01-01",2,"Rockin' Around The Christmas Tree","Brenda Lee"
"2023-01-01",3,"Jingle Bell Rock","Bobby Helms"
"2023-01-01",4,"Last Christmas","Wham!"
"2023-01-01",5,"A Holly Jolly Christmas","Burl Ives"
"2023-01-01",6,"It's The Most Wonderful Time Of The Year","Andy Williams"
"2023-01-01",7,"Feliz Navidad","Jose Feliciano"
"2023-01-01",8,"Anti-Hero","Taylor Swift"
"2023-01-01",9,"The Christmas Song (Merry Christmas To You)","Nat ""King"" Cole"
"2023-01-01",10,"Unholy","Sam Smith & Kim Petras"
"2023-01-01",11,"Kill Bill","SZA"
"2023-01-01",12,"Santa Tell Me","Ariana Grande"
"2023-01-01",13,"Sleigh Ride","The Ronettes"
"2023-01-01",14,"Underneath The Tree","Kelly Clarkson"
"2023-01-01",15,"Christmas (Baby Please Come Home)","Darlene Love"
"2023-01-01",16,"White Christmas (1947)","Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra"
"2023-01-01",17,"Deck The Halls","Nat King Cole"
"2023-01-01",18,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin"
"2023-01-01",19,"I'm Good (Blue)","David Guetta & Bebe Rexha"
"2023-01-01",20,"Jingle Bells","Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins"
"2023-01-01",21,"Rich Flex","Drake & 21 Savage"
"2023-01-01",22,"Creepin'","Metro Boomin, The Weeknd & 21 Savage"
"2023-01-01",23,"It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra"
"2023-01-01",24,"Blue Christmas","Elvis Presley"
"2023-01-01",25,"It's Beginning To Look A Lot Like Christmas","Michael Buble"
"2023-01-01",26,"Die For You","The Weeknd & Ariana Grande"
"2023-01-01",27,"Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry"
"2023-01-01",28,"Rudolph The Red-Nosed Reindeer","Gene Autry & The Pinafores"
"2023-01-01",29,"Little Saint Nick","The Beach Boys"
"2023-01-01",30,"Bad Habit","Steve Lacy"
"2023-01-01",31,"As It Was","Harry Styles"
"2023-01-01",32,"Run Rudolph Run","Chuck Berry"
"2023-01-01",33,"Wonderful Christmastime","Paul McCartney"
"2023-01-01",34,"Santa Claus Is Comin' To Town","Jackson 5"
"2023-01-01",35,"You're A Mean One, Mr. Grinch","Thurl Ravenscroft"
"2023-01-01",36,"Santa Baby","Eartha Kitt With Henri Rene And His Orchestra"
"2023-01-01",37,"This Christmas","Donny Hathaway"
"2023-01-01",38,"Cuff It","Beyonce"
"2023-01-01",39,"Under The Influence","Chris Brown"
"2023-01-01",40,"Happy Holiday / The Holiday Season","Andy Williams"
"2023-01-01",41,"(There's No Place Like) Home For The Holidays (1959)","RE- ENTRY"
"2023-01-01",42,"Something In The Orange","RE- ENTRY"
"2023-01-01",43,"Please Come Home For Christmas","Perry Como With Mitchell Ayers And His Orchestra"
"2023-01-01",44,"Merry Christmas","Zach Bryan"
"2023-01-01",45,"Made You Look","Eagles"
"2023-01-01",46,"You Proof","Ed Sheeran & Elton John"
"2023-01-01",47,"Happy Xmas (War Is Over)","Meghan Trainor"
"2023-01-01",48,"Have Yourself A Merry Little Christmas","Morgan Wallen"
"2023-01-01",49,"Golden Hour","John & Yoko/The Plastic Ono Band With The Harlem Community Choir"
"2023-01-01",50,"Christmastime Is Here","RE- ENTRY"
"2023-01-01",51,"Super Freaky Girl","RE- ENTRY"
"2023-01-01",52,"Shirt","Michael Buble"
"2023-01-01",53,"Just Wanna Rock","JVKE"
"2023-01-01",54,"Tomorrow 2","RE- ENTRY"
"2023-01-01",55,"Superhero (Heroes & Villains)","RE- ENTRY"
"2023-01-01",56,"Thank God","Vince Guaraldi Trio"
"2023-01-01",57,"Lift Me Up","Nicki Minaj"
"2023-01-01",58,"Until I Found You","SZA"
"2023-01-01",59,"Nobody Gets Me","Lil Uzi Vert"
"2023-01-01",60,"Someday At Christmas","GloRilla & Cardi B"
"2023-01-01",61,"Rock And A Hard Place","Metro Boomin, Future & Chris Brown"
"2023-01-01",62,"Gato de Noche","Kane Brown With Katelyn Brown"
"2023-01-01",63,"Victoria's Secret","Rihanna"
"2023-01-01",64,"Lavender Haze","Stephen Sanchez"
"2023-01-01",65,"Low","SZA"
"2023-01-01",66,"Son Of A Sinner","Lizzo"
"2023-01-01",67,"Blind","Bailey Zimmerman"
"2023-01-01",68,"What My World Spins Around","NEW"
"2023-01-01",69,"Wait In The Truck","NEW"
"2023-01-01",70,"Going, Going, Gone","Nengo Flow & Bad Bunny"
"2023-01-01",71,"Heart Like A Truck","Jax"
"2023-01-01",72,"Last Christmas","Taylor Swift"
"2023-01-01",73,"Blue Christmas","SZA"
"2023-01-01",74,"Snooze","Jelly Roll"
"2023-01-01",75,"Escapism","SZA"
"2023-01-01",76,"Santa, Can't You Hear Me","Jordan Davis"
"2023-01-01",77,"Love Language","HARDY Featuring Lainey Wilson"
"2023-01-01",78,"Star Walkin' (League Of Legends Worlds Anthem)","Luke Combs"
"2023-01-01",79,"Calm Down","Lainey Wilson"
"2023-01-01",80,"Whiskey On You","Lauren Spencer Smith"
"2023-01-01",81,"Seek & Destroy","Kane Brown"
"2023-01-01",82,"Hold Me Closer","SZA"
"2023-01-01",83,"Que Vuelvas","RAYE Featuring 070 Shake"
"2023-01-01",84,"Too Many Nights","Kelly Clarkson & Ariana Grande"
"2023-01-01",85,"Spin Bout U","SZA"
"2023-01-01",86,"Used","Lil Nas X"
"2023-01-01",87,"Romantic Homicide","Rema & Selena Gomez"
"2023-01-01",88,"Circo Loco","Nate Smith"
"2023-01-01",89,"Ghost In The Machine","SZA"
"2023-01-01",90,"Down Home","Elton John & Britney Spears"
"2023-01-01",91,"Bebe Dame","NEW"
"2023-01-01",92,"Special","NEW"
"2023-01-01",93,"No Se Va","Carin Leon X Grupo Frontera"
"2023-01-01",94,"Kid On Christmas","Metro Boomin Featuring Don Toliver & Future"
"2023-01-01",95,"One Thing At A Time","Drake & 21 Savage"
"2023-01-01",96,"Pick Me Up","SZA Featuring Don Toliver"
"2023-01-01",97,"SOS","d4vd"
"2023-01-01",98,"Forget Me","Drake & 21 Savage"
"2023-01-01",99,"La Jumpa","SZA Featuring Phoebe Bridgers"
"2023-01-01",100,"Gone Girl","Jimmie Allen"
"2023-01-08",1,"Anti-Hero","Taylor Swift"
"2023-01-08",2,"Unholy","Sam Smith & Kim Petras"
"2023-01-08",3,"Kill Bill","SZA"
"2023-01-08",4,"I'm Good (Blue)","David Guetta & Bebe Rexha"
"2023-01-08",5,"Rich Flex","Drake & 21 Savage"
"2023-01-08",6,"Creepin'","Metro Boomin, The Weeknd & 21 Savage"
"2023-01-08",7,"As It Was","Harry Styles"
"2023-01-08",8,"Die For You","The Weeknd & Ariana Grande"
"2023-01-08",9,"Bad Habit","Steve Lacy"
"2023-01-08",10,"Cuff It","Beyonce"
"2023-01-08",11,"Something In The Orange","Zach Bryan"
"2023-01-08",12,"Made You Look","Meghan Trainor"
"2023-01-08",13,"You Proof","Morgan Wallen"
"2023-01-08",14,"Under The Influence","Chris Brown"
"2023-01-08",15,"Golden Hour","JVKE"
"2023-01-08",16,"Just Wanna Rock","Lil Uzi Vert"
"2023-01-08",17,"Thank God","Kane Brown With Katelyn Brown"
"2023-01-08",18,"Super Freaky Girl","Nicki Minaj"
"2023-01-08",19,"I Like You (A Happier Song)","RE- ENTRY"
"2023-01-08",20,"Rock And A Hard Place","RE- ENTRY"
"2023-01-08",21,"Tomorrow 2","Post Malone Featuring Doja Cat"
"2023-01-08",22,"Wasted On You","Bailey Zimmerman"
"2023-01-08",23,"Shirt","GloRilla & Cardi B"
"2023-01-08",24,"Superhero (Heroes & Villains)","RE- ENTRY"
"2023-01-08",25,"Lift Me Up","RE- ENTRY"
"2023-01-08",26,"About Damn Time","Morgan Wallen"
"2023-01-08",27,"Until I Found You","SZA"
"2023-01-08",28,"Wait For U","Metro Boomin, Future & Chris Brown"
"2023-01-08",29,"Sunroof","Rihanna"
"2023-01-08",30,"I Ain't Worried","RE- ENTRY"
"2023-01-08",31,"Going, Going, Gone","RE- ENTRY"
"2023-01-08",32,"Vegas","Lizzo"
"2023-01-08",33,"Thought You Should Know","Stephen Sanchez"
"2023-01-08",34,"The Kind Of Love We Make","RE- ENTRY"
"2023-01-08",35,"She Had Me At Heads Carolina","RE- ENTRY"
"2023-01-08",36,"Son Of A Sinner","Future Featuring Drake & Tems"
"2023-01-08",37,"Lavender Haze","RE- ENTRY"
"2023-01-08",38,"Wait In The Truck","RE- ENTRY"
"2023-01-08",39,"Heart Like A Truck","Nicky Youre & dazy"
"2023-01-08",40,"Victoria's Secret","RE- ENTRY"
"2023-01-08",41,"Unstoppable","RE- ENTRY"
"2023-01-08",42,"Nobody Gets Me","OneRepublic"
"2023-01-08",43,"Escapism","Luke Combs"
"2023-01-08",44,"What My World Spins Around","RE- ENTRY"
"2023-01-08",45,"Low","RE- ENTRY"
"2023-01-08",46,"Calm Down","Doja Cat"
"2023-01-08",47,"Whiskey On You","RE- ENTRY"
"2023-01-08",48,"Fall In Love","RE- ENTRY"
"2023-01-08",49,"Jimmy Cooks","Morgan Wallen"
"2023-01-08",50,"Bebe Dame","RE- ENTRY"
"2023-01-08",51,"Blind","RE- ENTRY"
"2023-01-08",52,"Hold Me Closer","Luke Combs"
"2023-01-08",53,"Snooze","RE- ENTRY"
"2023-01-08",54,"Star Walkin' (League Of Legends Worlds Anthem)","RE- ENTRY"
"2023-01-08",55,"Hotel Lobby (Unc And Phew)","Cole Swindell"
"2023-01-08",56,"Love Language","Jelly Roll"
"2023-01-08",57,"Que Vuelvas","Taylor Swift"
"2023-01-08",58,"Tennessee Orange","HARDY Featuring Lainey Wilson"
"2023-01-08",59,"Romantic Homicide","Lainey Wilson"
"2023-01-08",60,"Gato de Noche","Jax"
"2023-01-08",61,"Down Home","RE- ENTRY"
"2023-01-08",62,"Spin Bout U","RE- ENTRY"
"2023-01-08",63,"Pick Me Up","Sia"
"2023-01-08",64,"Circo Loco","SZA"
"2023-01-08",65,"Too Many Nights","RAYE Featuring 070 Shake"
"2023-01-08",66,"Seek & Destroy","Jordan Davis"
"2023-01-08",67,"What He Didn't Do","SZA"
"2023-01-08",68,"Bloody Mary","Rema & Selena Gomez"
"2023-01-08",69,"Handle On You","Nate Smith"
"2023-01-08",70,"No Se Va","RE- ENTRY"
"2023-01-08",71,"Snap","RE- ENTRY"
"2023-01-08",72,"Freestyle","Bailey Zimmerman"
"2023-01-08",73,"Half Of Me","RE- ENTRY"
"2023-01-08",74,"Forget Me","RE- ENTRY"
"2023-01-08",75,"Wild As Her","Drake Featuring 21 Savage"
"2023-01-08",76,"Used","Fuerza Regida X Grupo Frontera"
